,image,url,etoile,Nom,Telephone,Adress,Façon Cuisine,Description,Derssert,étoils cusine,Website,href,Ville,codePosttal,Coordinates
0,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/41ad2fd53243403b9251fe0bdb9c6dc6.jpeg,/fr/fr/auvergne-rhone-alpes/aillon-le-jeune/restaurant/auberge-d%E2%80%99aillon-et-d%E2%80%99ailleurs,Gourmande, Auberge d’Aillon et d’Ailleurs,+33 4 58 39 01 30,"795 route de la Correrie, Aillon-le-Jeune, 73340, France",Cuisine moderne,"Dans le massif des Bauges, havre de nature préservé, cet hôtel contemporain offre une jolie table emmenée par une équipe qui a de la technique et des idées, et met du cœur à l'ouvrage pour tirer le meilleur du terroir du Val d'Aillon : potager, fromage de coopérative, agneau fermier, herbes sauvages... Le menu change régulièrement.",Une cuisine de qualité,0,https://www.aillon-ailleurs.com/,/fr/fr/auvergne-rhone-alpes/aillon-le-jeune/restaurant/auberge-d%E2%80%99aillon-et-d%E2%80%99ailleurs, Aillon-le-Jeune,73340,"[6.109516, 45.60995]"
1,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9d7faecd8966484b822599c08670cbd9.jpeg,/fr/fr/auvergne-rhone-alpes/ainay-le-chateau/restaurant/dorangeville,Gourmande, Dorangeville,+33 4 70 64 18 48,"3 rue du Vieux-Château, Ainay-le-Château, 03360, France",Cuisine moderne,"Au cœur d’un charmant village médiéval, dans une jolie bâtisse du 14e s., une table au cadre contemporain et élégant, avec terrasse ouverte sur le jardin. Quentin Dorangeville, chef originaire de la Sarthe, propose une cuisine rythmée par les saisons, aussi soignée qu'ambitieuse, à base de jolis produits et aux associations qui font mouche. En témoigne cet œuf de poule confit, fragola sarda, girolles et chorizo. Une adresse gourmande avec un service tout sourire.",Une cuisine de qualité,0,https://www.dorangeville.fr/,/fr/fr/auvergne-rhone-alpes/ainay-le-chateau/restaurant/dorangeville, Ainay-le-Château,3360,"[2.69247, 46.712017]"
2,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1aca6251f7ce44b08cbe8e9a50620bb0.jpeg,/fr/fr/auvergne-rhone-alpes/aix-les-bains/restaurant/le-59-restaurant,Gourmande, Le 59 Restaurant,+33 4 56 57 11 96,"59 rue du Casino, Aix-les-Bains, 73100, France",Cuisine moderne,"Dans la famille Campanella, je demande... le frère ! Cédric a succédé à Boris aux fourneaux de cette ancienne épicerie transformée en restaurant. Dans l'assiette, on retrouve le goût de la précision, et une cuisine actuelle, volontiers inventive. Une adresse incontournable de la ville.",Une cuisine de qualité,0,https://www.restaurant-le59.fr/,/fr/fr/auvergne-rhone-alpes/aix-les-bains/restaurant/le-59-restaurant, Aix-les-Bains,73100,"[5.91338, 45.689911]"
3,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/36287d86aba64d1082800478c869bda4.jpeg,/fr/fr/auvergne-rhone-alpes/aix-les-bains/restaurant/le-sens-unique,Gourmande, Le Sens Unique,+33 4 79 61 21 09,"Hôtel Gallia, 24 boulevard-Berthollet, Aix-les-Bains, 73100, France",Cuisine moderne,"Sur les hauteurs du centre-ville, ce petit hôtel, dont la façade évoque encore l'époque faste des cures thermales, cache une sympathique table bistronomique emmenée tambour battant par un chef-patron très présent en salle. En plus d’un bar à vins, une table pimpante, qui a gardé son cachet d'époque, sert une cuisine bistrotière et canaille, réalisée avec des produits de saison et parfois plus nobles (bœuf Angus, maigre corse...). Service aux petits soins et charmante terrasse close et arborée sur l'arrière.",Une cuisine de qualité,0,http://www.galliahotel.fr,/fr/fr/auvergne-rhone-alpes/aix-les-bains/restaurant/le-sens-unique, Aix-les-Bains,73100,"[5.917273, 45.690184]"
4,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ba9260ce03434b358db26b32a96b5e82.jpg,/fr/fr/auvergne-rhone-alpes/albertville/restaurant/million,Gourmande, Million,+33 4 79 32 25 15,"8 place de la Liberté, Albertville, 73200, France",Cuisine classique,"Une hostellerie familiale qui cultive la tradition, aussi bien à sa table, autour de recettes classiques, que dans ses chambres au cadre gentiment suranné.",Une cuisine de qualité,0,https://www.hotelmillion.fr/,/fr/fr/auvergne-rhone-alpes/albertville/restaurant/million, Albertville,73200,"[6.39298, 45.678309]"
5,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/iStock-157185809.jpg,/fr/fr/auvergne-rhone-alpes/allex_1509156/restaurant/l-auberge-d-allex,Gourmande, L'Auberge d'Allex,+33 4 75 62 61 66,"Montée de l'Ancien-Hôpital, Allex, 26400, France",Cuisine moderne,"Entre Valence et Montélimar, cette auberge de village continue sa vie gourmande grâce à un jeune couple qui en a fait une étape chaleureuse et cosy, d'esprit bistrot, panachée de quelques touches contemporaines. Dans l’assiette, la veine bistrotière se confirme à travers une cuisine simple dans l'air du temps. C’est du sérieux, à l’image de ce filet de merlu, sauce aux agrumes et embeurrée de chou rouge et butternut.",Une cuisine de qualité,0,http://www.laubergedallex.fr,/fr/fr/auvergne-rhone-alpes/allex_1509156/restaurant/l-auberge-d-allex, Allex,26400,"[4.916339, 44.764367]"
6,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ffbc892838c4484a9f098beca7bfa681.jpg,/fr/fr/auvergne-rhone-alpes/alleyras/restaurant/le-haut-allier,Une étoile, Le Haut-Allier,+33 4 71 57 57 63,"1 avenue de la Gare (Le Pont d'Alleyras), Alleyras, 43580, France",Cuisine moderne,"Au cœur des gorges de l’Allier, cet hôtel-restaurant familial regarde le pont et la rivière depuis ses fenêtres. Bien ancrée dans son terroir, la famille Brun – Clément, le fils, en cuisine et Camille sa compagne en pâtisserie, épaulés par les parents Philippe et Michelle – magnifie ces rudes contrées. Ils célèbrent ainsi les nombreux produits qu’ils trouvent dans ce coin de nature : champignons, viandes et fromages auvergnats, saumon d’une pisciculture de l'Allier, mais aussi plantes et fleurs sauvages. On se régale d'un ceviche de truite au piment d’Espelette, condiment avocat et tarama, boulgour et ris d’agneau au beurre d’anchois, ou d'une originale association de framboises et orge malté avec un crémeux au pur malt d'une distillerie locale.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.hotel-lehautallier.com,/fr/fr/auvergne-rhone-alpes/alleyras/restaurant/le-haut-allier, Alleyras,43580,"[3.674316, 44.919573]"
7,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/118036cfb5ec41909499df8f032b7305.jpeg,/fr/fr/auvergne-rhone-alpes/alpe-d-huez/restaurant/au-chamois-d-or,Gourmande, Au Chamois d'Or,+33 4 76 80 31 32,"169 rue Fontbelle, Alpe-d'Huez, 38750, France",Cuisine moderne,"Cette jolie table n'est pas le moindre atout de l'hôtel Chamois d'Or : dans le décor chaleureux et feutré d'une salle tout en bois, on apprécie une cuisine actuelle bien tournée. Agréable terrasse au déjeuner, et l'atmosphère de l'endroit se fait même romantique le soir venu...",Une cuisine de qualité,0,https://chamoisdor-alpedhuez.com/,/fr/fr/auvergne-rhone-alpes/alpe-d-huez/restaurant/au-chamois-d-or, Alpe-d'Huez,38750,"[6.071043, 45.097098]"
8,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/dfb5dcdbbcfd4c0180662cbb3c6b5a02.jpeg,/fr/fr/auvergne-rhone-alpes/ambert/restaurant/le-m,Gourmande, Le M,+33 4 73 82 28 91,"1 place du Livradois, Ambert, 63600, France",Cuisine moderne,"On « M » ce bistrot contemporain branché, pour son accueil charmant comme pour sa cuisine actuelle et savoureuse, à l'image de cet épais dos de cabillaud, fregola sarda et son jus de volaille. Le menu-carte restreint assure fraîcheur et qualité des produits de saison, et offre un très bon rapport qualité-prix le midi ! Ne passez pas à côté de l'excellent canelé, clin d'œil aux origines bordelaises du couple. Belle sélection de vins à l’ardoise.",Une cuisine de qualité,0,https://guide.michelin.com/fr/fr/selection/france/restaurants,/fr/fr/auvergne-rhone-alpes/ambert/restaurant/le-m, Ambert,63600,"[3.745387, 45.548795]"
9,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c262f50268ed4173b092c3312decf481.jpg,/fr/fr/auvergne-rhone-alpes/ambierle/restaurant/le-prieure189,Une étoile, Le Prieuré,+33 4 77 65 63 24,"11 rue de la Mairie, Ambierle, 42820, France",Cuisine moderne,"Au centre de ce village de vignerons de la Côte roannaise, cette belle bâtisse traditionnelle en granit jouxte un magnifique prieuré bénédictin du 15e s. à la toiture de tuiles polychromes vernissées de style bourguignon. On déguste une cuisine aux bases classiques qui met en valeur les bons produits des environs.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.leprieureambierle.fr/,/fr/fr/auvergne-rhone-alpes/ambierle/restaurant/le-prieure189, Ambierle,42820,"[3.896116, 46.103957]"
